,독립변수,,,,,,,,,종속변수,,,,가중치 적용
구·동,생활 인구,소매업,의료기관,교육기관,서비스업,음식점,유입인구,카드소비,지역면적(km^2),적정 주차면수,,단속건수,주차면수 합,단속건수
파장동,25225,246,27,46,193,288,19726,21855,8.63,4300.89,,4410,3515,785.89
율천동,42518,278,36,147,349,512,32824,17442,3.14,4771.24,,4928,3880,891.24
정자1동,27789,142,26,106,137,150,14619,7453,1.28,2183.23,,2345,1764,419.23
정자2동,38198,254,31,89,234,304,21120,49304,1.44,3543.11,,3380,2946,597.11
영화동,20217,297,36,35,329,496,23052,17070,1.27,5774.77,,5728,4781,993.77
송죽동,18765,201,24,48,202,348,15036,11396,1.65,4226,,5294,3189,1037
조원1동,28924,247,23,71,204,282,21708,11353,1.84,3825.68,,4713,2953,872.68
연무동,18403,200,20,25,133,275,14948,5482,11.58,3551.13,,4431,2790,761.13
정자3동,39850,265,76,344,252,346,30098,25033,1.44,4162.07,,6175,2903,1259.07
조원2동,17756,153,34,59,75,73,11830,10585,1.29,1772.25,,696,1643,129.25
세류1동,10809,57,12,30,86,54,9189,2693,0.93,1177.09,,1876,752,425.09
세류2동,25141,219,27,36,223,278,15395,10080,3.58,4758.84,,5559,3411,1347.84
세류3동,19041,220,16,31,218,228,9698,6981,1.29,3257.89,,3724,2349,908.89
평동,41820,312,31,88,445,457,37331,35674,10.91,8724.35,,12794,6052,2672.35
서둔동,38639,532,38,76,318,399,34727,50074,8.84,10641.44,,13436,7545,3096.44
구운동,23713,284,10,58,205,299,17100,31557,1.94,4774.73,,4501,3822,952.73
권선1동,24773,438,37,67,379,560,37583,31349,1.03,7467.54,,14632,4087,3380.54
곡선동,35723,296,39,147,354,444,25418,23712,4.46,11512.45,,19730,6990,4522.45
입북동,19796,81,6,65,77,88,11771,4903,7.08,1289.99,,2368,763,526.99
권선2동,46807,357,55,165,250,311,26608,25749,1.81,3355.27,,4760,2264,1091.27
금곡동,44359,351,66,230,355,568,30513,28633,4.04,6807.16,,11889,4243,2564.16
호매실동,44953,190,28,130,217,336,25068,18101,4.74,4587.6,,10203,2440,2147.6
지동,10818,213,16,15,71,138,11476,19115,0.79,2682.95,,3914,1679,1003.95
우만1동,19329,238,24,49,194,268,17762,11823,1.14,4660.6,,5820,3063,1597.6
우만2동,17168,125,28,75,121,196,13649,12365,0.83,1834.25,,1168,1522,312.25
인계동,46852,1038,186,178,842,1361,57072,98452,2.91,30125.27,,85177,7823,22302.27
매교동,22297,116,14,81,111,132,12283,7372,0.86,1959.81,,2462,1322,637.81
매산동,12224,764,58,50,339,612,32910,52219,0.82,4748.23,,12082,1558,3190.23
고등동,22554,124,6,31,127,182,11782,5352,1.01,3121.62,,4820,1868,1253.62
화서1동,22771,322,44,51,193,301,14148,9297,0.81,4347.85,,5553,2915,1432.85
화서2동,24539,113,30,103,141,197,22319,7427,2.12,2145.12,,2825,1410,735.12
행궁동,10239,808,54,18,151,763,20771,22788,1.57,26313.48,,16296,22081,4232.48
매탄1동,13054,160,31,43,95,143,9035,7043,1.23,1756.99,,3585,872,884.99
매탄2동,14440,145,16,50,135,220,17621,6987,0.79,3358.62,,4724,2166,1192.62
매탄3동,35257,307,47,193,325,516,40571,30764,2.34,6127.9,,10061,3984,2143.9
매탄4동,20590,142,14,40,133,201,10810,4487,0.78,2222.48,,3850,1307,915.48
원천동,47075,352,40,159,339,580,48780,63829,3.22,6887.66,,8646,4968,1919.66
광교1동,53664,674,84,322,492,839,59223,54017,7.98,8112.4,,12921,5153,2959.4
광교2동,28918,237,19,92,172,374,34547,36225,4.16,5873.63,,4940,4643,1230.63
영통1동,33704,104,20,118,119,112,18048,5937,1.69,1675.22,,3993,654,1021.22
영통2동,25904,253,43,114,263,443,28747,27732,1.36,7340.33,,11664,4806,2534.33
영통3동,33275,478,101,299,436,811,39170,48392,1.72,8548.06,,10352,5910,2638.06
망포1동,31898,132,31,167,127,144,21815,11080,1,1764.18,,2585,1175,589.18
망포2동,33635,136,58,170,128,130,20674,18123,1.44,1853.51,,4127,895,958.51
